2025/11/26 16:41:14 [2]: Started logging
2025/11/26 16:41:14 Frontend: gRPC server now listening on 5002... at logical time: 0 
2025/11/26 16:41:14 Backend: gRPC server now listening on 5012... at logical time: 0 
2025/11/26 16:41:14 [Node 2] Advertised on network (port 5012) as leader? false
2025/11/26 16:41:14 [Node 2] Advertised frontend on network (port 5002)
2025/11/26 16:54:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:47 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:04 [Node 2] Node 1 timed out (last seen 2025-11-26 16:54:49.7362568 +0100 CET m=+815.560741501)
2025/11/26 16:55:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:04 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:55:07 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:29 [Node 2] Node 1 timed out (last seen 2025-11-26 16:55:19.2498663 +0100 CET m=+845.074351001)
2025/11/26 16:55:30 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:30 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:55:33 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:55:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:14 [Node 2] Node 1 timed out (last seen 2025-11-26 16:55:59.7784291 +0100 CET m=+885.602913801)
2025/11/26 16:56:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:14 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:56:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:25 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:35 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:56:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:10 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:27 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:58 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:57:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:03 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:10 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:25 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
